sisterspouse_position,sisterspouse_position_text,sisterspouse_position_text_ab,sisterspouse_position_which,sisterspouse_position_which_ab,sisterspouse_status,sisterspouse_aliveage,sisterspouse_yemendeceased,sisterspouse_dieyear,sisterspouse_diemonth,sisterspouse_diedage,sisterspouse_governorate,sisterspouse_cod,PARENT_KEY,KEY
0,oldest,الأولى,,,alive,36,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,38,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,36,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,33,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,24,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,18,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,deceased,,yes,2010,,6,sanaa,unknown,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,36,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,32,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,30,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,25,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,22,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,unknown,,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,62,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,47,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,40,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,32,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,48,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,43,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,32,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,,,alive,28,,,,,,,uuid:071d8356-de47-4764-bcdf-79daae409d8e,uuid:071d8356-de47-4764-bcdf-79daae409d8e/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,,,alive,46,,,,,,,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,36,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,30,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,27,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,,,alive,35,,,,,,,uuid:8d891139-6a98-4395-84ad-d0f55dfb3502,uuid:8d891139-6a98-4395-84ad-d0f55dfb3502/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,32,,,,,,,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,30,,,,,,,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,76,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,74,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,70,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
3,fourth,الرابعة,fourth,الرابعة,alive,68,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[4]
0,oldest,الأولى,oldest,الأولى,alive,24,,,,,,,uuid:aa2ebbd1-dcd1-41f8-9b5d-d8517b9fef46,uuid:aa2ebbd1-dcd1-41f8-9b5d-d8517b9fef46/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,unknown,,,,,,,,uuid:aa2ebbd1-dcd1-41f8-9b5d-d8517b9fef46,uuid:aa2ebbd1-dcd1-41f8-9b5d-d8517b9fef46/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,45,,,,,,,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,40,,,,,,,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,28,,,,,,,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,56,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,43,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,45,,,,,,,uuid:033c8225-e861-4d68-b9d3-27f574f96a14,uuid:033c8225-e861-4d68-b9d3-27f574f96a14/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,32,,,,,,,uuid:033c8225-e861-4d68-b9d3-27f574f96a14,uuid:033c8225-e861-4d68-b9d3-27f574f96a14/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,,,alive,30,,,,,,,uuid:5cc24827-2b3f-4388-84ae-ae2997ad6559,uuid:5cc24827-2b3f-4388-84ae-ae2997ad6559/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,50,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,45,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,,,alive,15,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,41,,,,,,,uuid:56b96d89-497d-4686-bf0e-bf2c4cc74dcb,uuid:56b96d89-497d-4686-bf0e-bf2c4cc74dcb/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,35,,,,,,,uuid:56b96d89-497d-4686-bf0e-bf2c4cc74dcb,uuid:56b96d89-497d-4686-bf0e-bf2c4cc74dcb/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,36,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,33,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,30,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
3,fourth,الرابعة,fourth,الرابعة,alive,27,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[4]
4,fifth,الخامسة,fifth,الخامسة,alive,24,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[5]
0,oldest,الأولى,,,alive,24,,,,,,,uuid:1dc2f4ed-ebb1-4819-b721-f04614e73037,uuid:1dc2f4ed-ebb1-4819-b721-f04614e73037/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,45,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,44,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,35,,,,,,,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,36,,,,,,,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,41,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,39,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,36,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
3,fourth,الرابعة,fourth,الرابعة,alive,30,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[4]
0,oldest,الأولى,oldest,الأولى,alive,41,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,26,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,20,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,,,alive,29,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,,,alive,26,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,,,alive,27,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,33,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,26,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,23,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,30,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,39,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,41,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,40,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,32,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
3,fourth,الرابعة,fourth,الرابعة,alive,28,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[4]
4,fifth,الخامسة,fifth,الخامسة,alive,17,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[5]
0,oldest,الأولى,oldest,الأولى,alive,25,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,23,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,14,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,,,alive,22,,,,,,,uuid:5f355532-147a-40fc-af36-12130ed1577a,uuid:5f355532-147a-40fc-af36-12130ed1577a/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,37,,,,,,,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,31,,,,,,,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,22,,,,,,,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,36,,,,,,,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,30,,,,,,,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
